Timestamp,ax,ay,az,gx,gy,gz
1764758222800,2.2923,4.8562,7.2706,0.3435,0.013,-0.1387
1764758222810,2.2923,4.8562,7.2706,0.3435,0.013,-0.1387
1764758222820,1.876,4.8526,7.4309,0.3386,-0.1208,-0.1234
1764758222830,1.876,4.8526,7.4309,0.3386,-0.1208,-0.1234
1764758222840,1.815,4.7378,7.3442,0.4087,-0.2729,-0.036
1764758222850,1.815,4.7378,7.3442,0.4087,-0.2729,-0.036
1764758222860,2.01,4.7617,7.3137,0.3131,-0.2888,0.0816
1764758222870,2.01,4.7617,7.3137,0.3131,-0.2888,0.0816
1764758222880,2.01,4.7617,7.3137,0.1975,-0.2512,0.2162
1764758222890,2.3007,4.803,7.8323,0.1975,-0.2512,0.2162
1764758222900,2.3007,4.803,7.8323,0.1962,-0.1727,0.2986
1764758222910,2.3898,4.8126,8.0447,0.1962,-0.1727,0.2986
1764758222920,2.3898,4.8126,8.0447,0.2983,-0.1698,0.3836
1764758222930,2.5352,5.0022,7.4656,0.2983,-0.1698,0.3836
1764758222940,2.5352,5.0022,7.4656,0.2983,-0.1698,0.3836
1764758222950,3.149,5.5591,6.6251,0.412,-0.4423,0.3934
1764758222960,3.149,5.5591,6.6251,0.412,-0.4423,0.3934
1764758222970,4.4064,6.3045,6.1992,0.5899,-1.1599,0.2718
1764758222980,4.4064,6.3045,6.1992,0.5899,-1.1599,0.2718
1764758222990,5.6626,6.676,5.9504,0.8926,-2.2753,-0.048
1764758223000,5.6626,6.676,5.9504,0.8926,-2.2753,-0.048
1764758223010,5.6626,6.676,5.9504,1.5389,-4.0862,-0.432
1764758223020,6.883,7.1294,6.3135,1.5389,-4.0862,-0.432
1764758223030,6.883,7.1294,6.3135,2.6922,-6.4874,-0.9
1764758223040,8.3318,7.5517,8.2379,2.6922,-6.4874,-0.9
1764758223050,8.3318,7.5517,8.2379,4.1782,-8.3782,-1.3667
1764758223060,9.0957,8.0626,8.4245,4.1782,-8.3782,-1.3667
1764758223070,9.0957,8.0626,8.4245,4.1782,-8.3782,-1.3667
1764758223080,8.2822,8.1978,5.3743,5.3894,-9.3682,-1.8089
1764758223090,8.2822,8.1978,5.3743,5.3894,-9.3682,-1.8089
1764758223100,6.7878,7.852,1.8951,5.6777,-9.3717,-2.1163
1764758223110,6.7878,7.852,1.8951,5.6777,-9.3717,-2.1163
1764758223120,4.4871,7.1593,-0.7831,5.2618,-8.6474,-2.2952
1764758223130,4.4871,7.1593,-0.7831,5.2618,-8.6474,-2.2952
1764758223140,4.4871,7.1593,-0.7831,4.4347,-7.4011,-2.188
1764758223150,1.538,5.9043,-2.54,4.4347,-7.4011,-2.188
1764758223160,1.538,5.9043,-2.54,3.2501,-5.5689,-1.7159
1764758223170,-0.8518,4.9388,-4.3513,3.2501,-5.5689,-1.7159
1764758223180,-0.8518,4.9388,-4.3513,3.2501,-5.5689,-1.7159
1764758223190,-2.4233,4.3035,-6.0024,1.7562,-3.4685,-1.0204
1764758223200,-2.4233,4.3035,-6.0024,1.7562,-3.4685,-1.0204
1764758223210,-3.8154,3.1986,-5.604,0.1339,-1.6003,-0.2928
1764758223220,-3.8154,3.1986,-5.604,0.1339,-1.6003,-0.2928
1764758223230,-5.1924,2.0662,-3.8943,-1.4015,0.3147,0.4867
1764758223240,-5.1924,2.0662,-3.8943,-1.4015,0.3147,0.4867
1764758223250,-6.8626,0.8411,-2.7105,-2.8346,2.4239,1.4079
1764758223260,-6.8626,0.8411,-2.7105,-2.8346,2.4239,1.4079
1764758223270,-6.8626,0.8411,-2.7105,-4.547,4.9912,2.6447
1764758223280,-9.0945,-0.8841,-1.8664,-4.547,4.9912,2.6447
1764758223290,-9.0945,-0.8841,-1.8664,-7.3559,8.9399,4.6255
1764758223300,-10.7533,-3.7723,-1.4136,-7.3559,8.9399,4.6255
1764758223310,-10.7533,-3.7723,-1.4136,-12.2611,14.54,7.0479
1764758223320,-8.2612,-9.4289,1.0881,-12.2611,14.54,7.0479
1764758223330,-8.2612,-9.4289,1.0881,-12.2611,14.54,7.0479
1764758223340,-4.5739,-14.3264,10.8778,-18.4791,20.6753,8.0257
1764758223350,-4.5739,-14.3264,10.8778,-18.4791,20.6753,8.0257
1764758223360,-7.0558,-15.868,22.2233,-21.3564,23.1941,6.3483
1764758223370,-7.0558,-15.868,22.2233,-21.3564,23.1941,6.3483
1764758223380,0.533,-11.7069,39.7029,-15.3619,14.521,3.9647
1764758223390,0.533,-11.7069,39.7029,-15.3619,14.521,3.9647
1764758223400,11.8098,-4.9304,28.2897,1.9012,-3.8436,-0.4609
1764758223410,11.8098,-4.9304,28.2897,1.9012,-3.8436,-0.4609
1764758223420,11.8098,-4.9304,28.2897,9.8746,-14.941,-4.3419
1764758223430,-7.0301,-17.388,14.5035,9.8746,-14.941,-4.3419
1764758223440,-7.0301,-17.388,14.5035,3.9302,-10.8409,-0.803
1764758223450,2.6465,-6.9978,32.3737,3.9302,-10.8409,-0.803
1764758223460,2.6465,-6.9978,32.3737,2.0459,-1.6721,0.6078
1764758223470,8.0142,-2.1835,27.259,2.0459,-1.6721,0.6078
1764758223480,8.0142,-2.1835,27.259,2.0459,-1.6721,0.6078
1764758223490,7.6774,1.0798,15.1896,0.7092,3.7964,0.7132
1764758223500,7.6774,1.0798,15.1896,0.7092,3.7964,0.7132
1764758223510,4.7007,1.806,9.4822,0.7756,3.2884,0.2327
1764758223520,4.7007,1.806,9.4822,0.7756,3.2884,0.2327
1764758223530,4.7007,1.806,9.4822,1.6739,0.8447,-0.1034
1764758223540,1.5266,1.6002,7.7797,1.6739,0.8447,-0.1034
1764758223550,1.5266,1.6002,7.7797,2.33,-0.8508,0.009
1764758223560,0.9188,1.0038,8.3605,2.33,-0.8508,0.009
1764758223570,0.9188,1.0038,8.3605,2.5456,-1.0698,0.299
1764758223580,2.0016,1.8772,8.5675,2.5456,-1.0698,0.299
1764758223590,2.0016,1.8772,8.5675,2.2659,-0.4626,0.2986
1764758223600,2.6686,2.4407,7.7115,2.2659,-0.4626,0.2986
1764758223610,2.6686,2.4407,7.7115,2.2659,-0.4626,0.2986
