Timestamp,ax,ay,az,gx,gy,gz
1764757853420,0.5474,5.2816,8.8313,-0.2486,0.8361,0.8054
1764757853430,0.5474,5.2816,8.8313,-0.1953,0.9348,0.814
1764757853440,0.0784,5.2439,8.2804,-0.1953,0.9348,0.814
1764757853450,0.0784,5.2439,8.2804,-0.1819,0.8097,0.8807
1764757853460,0.0353,5.2193,8.187,-0.1819,0.8097,0.8807
1764757853470,0.0353,5.2193,8.187,-0.1465,0.524,0.856
1764757853480,0.399,5.0985,8.9623,-0.1465,0.524,0.856
1764757853490,0.399,5.0985,8.9623,-0.1465,0.524,0.856
1764757853500,0.399,5.0985,8.9623,0.0521,0.2686,0.7275
1764757853510,0.3099,4.9914,9.4026,0.0521,0.2686,0.7275
1764757853520,0.3099,4.9914,9.4026,0.3256,-0.027,0.6197
1764757853530,-0.1771,4.5404,9.9829,0.3256,-0.027,0.6197
1764757853540,-0.1771,4.5404,9.9829,0.5802,0.2442,0.7297
1764757853550,0.5898,4.5673,9.405,0.5802,0.2442,0.7297
1764757853560,0.5898,4.5673,9.405,0.4861,1.3925,0.8974
1764757853570,4.8461,6.719,6.9613,0.4861,1.3925,0.8974
1764757853580,4.8461,6.719,6.9613,0.4861,1.3925,0.8974
1764757853590,-1.4913,5.7715,6.0616,-0.3126,1.4397,-0.0055
1764757853600,-1.4913,5.7715,6.0616,-0.3126,1.4397,-0.0055
1764757853610,-1.4913,5.7715,6.0616,-0.1907,-0.403,-0.3224
1764757853620,-1.4913,5.7715,6.0616,-0.1907,-0.403,-0.3224
